date;hour;dayAheadPrice
2016-01-11;'13 - 14;42,1
2016-01-12;'13 - 14;33,3
2016-01-13;'13 - 14;34,09
2016-01-14;'13 - 14;33,52
2016-01-15;'13 - 14;42,05
2016-01-16;'13 - 14;26,31
2016-01-17;'13 - 14;26,93
2016-01-11;'14 - 15;39,88
2016-01-12;'14 - 15;32,21
2016-01-13;'14 - 15;34,02
2016-01-14;'14 - 15;39,97
2016-01-15;'14 - 15;39,99
2016-01-16;'14 - 15;25,47
2016-01-17;'14 - 15;26,19
2016-01-11;'15 - 16;37,5
2016-01-12;'15 - 16;33,0
2016-01-13;'15 - 16;37,44
2016-01-14;'15 - 16;42,99
2016-01-15;'15 - 16;37,65
2016-01-16;'15 - 16;25,6
2016-01-17;'15 - 16;27,07
2016-01-11;'16 - 17;37,95
2016-01-12;'16 - 17;36,08
2016-01-13;'16 - 17;39,58
2016-01-14;'16 - 17;42,34
2016-01-15;'16 - 17;38,0
2016-01-16;'16 - 17;30,15
2016-01-17;'16 - 17;31,94
2016-01-11;'17 - 18;44,69
2016-01-12;'17 - 18;41,94
2016-01-13;'17 - 18;43,0
2016-01-14;'17 - 18;45,5
2016-01-15;'17 - 18;45,26
2016-01-16;'17 - 18;39,77
2016-01-17;'17 - 18;39,49
2016-01-11;'18 - 19;42,88
2016-01-12;'18 - 19;40,33
2016-01-13;'18 - 19;42,22
2016-01-14;'18 - 19;41,06
2016-01-15;'18 - 19;48,04
2016-01-16;'18 - 19;40,03
2016-01-17;'18 - 19;42,8
2016-01-11;'19 - 20;40,0
2016-01-12;'19 - 20;29,69
2016-01-13;'19 - 20;38,86
2016-01-14;'19 - 20;40,02
2016-01-15;'19 - 20;44,36
2016-01-16;'19 - 20;30,99
2016-01-17;'19 - 20;39,23
2016-01-11;'20 - 21;33,09
2016-01-12;'20 - 21;26,05
2016-01-13;'20 - 21;29,62
2016-01-14;'20 - 21;38,34
2016-01-15;'20 - 21;34,38
2016-01-16;'20 - 21;26,19
2016-01-17;'20 - 21;33,3
2016-01-11;'21 - 22;27,93
2016-01-12;'21 - 22;24,76
2016-01-13;'21 - 22;26,97
2016-01-14;'21 - 22;30,86
2016-01-15;'21 - 22;29,34
2016-01-16;'21 - 22;25,9
2016-01-17;'21 - 22;27,04
2016-01-11;'22 - 23;28,0
2016-01-12;'22 - 23;24,03
2016-01-13;'22 - 23;25,88
2016-01-14;'22 - 23;28,16
2016-01-15;'22 - 23;27,17
2016-01-16;'22 - 23;25,53
2016-01-17;'22 - 23;27,05
2016-01-11;'23 - 24;24,14
2016-01-12;'23 - 24;21,51
2016-01-13;'23 - 24;23,52
2016-01-14;'23 - 24;25,73
2016-01-15;'23 - 24;25,02
2016-01-16;'23 - 24;24,12
2016-01-17;'23 - 24;24,99
2016-01-18;'00 - 01;23,96
2016-01-19;'00 - 01;31,95
2016-01-20;'00 - 01;26,05
2016-01-21;'00 - 01;29,65
2016-01-22;'00 - 01;28,05
2016-01-23;'00 - 01;24,44
2016-01-24;'00 - 01;24,08
2016-01-18;'01 - 02;23,47
2016-01-19;'01 - 02;32,16
2016-01-20;'01 - 02;26,17
2016-01-21;'01 - 02;27,82
2016-01-22;'01 - 02;27,92
2016-01-23;'01 - 02;24,02
2016-01-24;'01 - 02;23,99
2016-01-18;'02 - 03;23,56
2016-01-19;'02 - 03;28,97
2016-01-20;'02 - 03;26,42
2016-01-21;'02 - 03;26,65
2016-01-22;'02 - 03;26,78
2016-01-23;'02 - 03;23,03
2016-01-24;'02 - 03;24,83
2016-01-18;'03 - 04;23,48
2016-01-19;'03 - 04;30,01
2016-01-20;'03 - 04;25,36
2016-01-21;'03 - 04;26,96
2016-01-22;'03 - 04;26,57
2016-01-23;'03 - 04;22,99
2016-01-24;'03 - 04;23,24
2016-01-18;'04 - 05;23,51
2016-01-19;'04 - 05;30,45
2016-01-20;'04 - 05;25,76
2016-01-21;'04 - 05;27,47
2016-01-22;'04 - 05;27,02
2016-01-23;'04 - 05;22,68
2016-01-24;'04 - 05;22,54
2016-01-18;'05 - 06;24,25
2016-01-19;'05 - 06;27,01
2016-01-20;'05 - 06;26,54
2016-01-21;'05 - 06;29,09
2016-01-22;'05 - 06;28,07
2016-01-23;'05 - 06;22,44
2016-01-24;'05 - 06;23,41
2016-01-18;'06 - 07;27,61
2016-01-19;'06 - 07;31,9
2016-01-20;'06 - 07;32,7
2016-01-21;'06 - 07;40,78
2016-01-22;'06 - 07;30,82
2016-01-23;'06 - 07;21,46
2016-01-24;'06 - 07;21,41
2016-01-18;'07 - 08;46,01
2016-01-19;'07 - 08;54,1
2016-01-20;'07 - 08;55,08
2016-01-21;'07 - 08;70,01
2016-01-22;'07 - 08;48,46
2016-01-23;'07 - 08;23,35
2016-01-24;'07 - 08;21,4
2016-01-18;'08 - 09;49,98
2016-01-19;'08 - 09;64,9
2016-01-20;'08 - 09;61,08
2016-01-21;'08 - 09;85,05
2016-01-22;'08 - 09;52,5
2016-01-23;'08 - 09;24,68
2016-01-24;'08 - 09;22,12
2016-01-18;'09 - 10;50,54
2016-01-19;'09 - 10;65,35
2016-01-20;'09 - 10;58,43
2016-01-21;'09 - 10;83,54
2016-01-22;'09 - 10;48,66
2016-01-23;'09 - 10;28,9
2016-01-24;'09 - 10;24,63
2016-01-18;'10 - 11;49,91
2016-01-19;'10 - 11;61,31
2016-01-20;'10 - 11;58,97
2016-01-21;'10 - 11;74,94
2016-01-22;'10 - 11;45,11
2016-01-23;'10 - 11;31,32
2016-01-24;'10 - 11;27,05
2016-01-18;'11 - 12;48,44
2016-01-19;'11 - 12;61,43
2016-01-20;'11 - 12;56,14
2016-01-21;'11 - 12;70,12
2016-01-22;'11 - 12;44,96
2016-01-23;'11 - 12;34,75
2016-01-24;'11 - 12;32,66
2016-01-18;'12 - 13;46,93
2016-01-19;'12 - 13;58,98
2016-01-20;'12 - 13;58,6
2016-01-21;'12 - 13;59,91
2016-01-22;'12 - 13;42,06
2016-01-23;'12 - 13;34,39
2016-01-24;'12 - 13;28,94
2016-01-18;'13 - 14;46,32
2016-01-19;'13 - 14;58,53
2016-01-20;'13 - 14;57,58
2016-01-21;'13 - 14;57,69
2016-01-22;'13 - 14;37,02
2016-01-23;'13 - 14;30,45
2016-01-24;'13 - 14;26,04
2016-01-18;'14 - 15;45,76
2016-01-19;'14 - 15;55,81
2016-01-20;'14 - 15;54,95
2016-01-21;'14 - 15;57,99
2016-01-22;'14 - 15;32,27
2016-01-23;'14 - 15;28,04
